"filename", "language", "HTML", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Animations/animations.css", "CSS", 0, 56, 0, 0, 0, 3, 59
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Animations/particle.js", "JavaScript", 0, 0, 10, 0, 16, 8, 34
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Animations/particles.css", "CSS", 0, 9, 0, 0, 0, 1, 10
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Pages/About.html", "HTML", 172, 0, 0, 0, 5, 2, 179
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Pages/Contact.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Pages/Events.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Pages/Feedback.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Pages/templt.html", "HTML", 39, 0, 0, 0, 1, 2, 42
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Public/Icons/circle-arrow-up-2.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Public/Icons/mail-3.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Styles/about.css", "CSS", 0, 103, 0, 0, 0, 15, 118
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Styles/footer.css", "CSS", 0, 158, 0, 0, 0, 7, 165
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Styles/header.css", "CSS", 0, 56, 0, 0, 0, 8, 64
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Styles/index.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Styles/luminora.css", "CSS", 0, 393, 0, 0, 3, 52, 448
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/Styles/root.css", "CSS", 0, 113, 0, 0, 10, 24, 147
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/events/luminora.html", "HTML", 382, 0, 0, 0, 24, 4, 410
"/Users/jeromeperera/OneDrive/Documents/MSCPA/MSCPA/MSCPA - WEB/index.html", "HTML", 39, 0, 0, 0, 1, 2, 42
"Total", "-", 635, 888, 10, 2, 60, 132, 1727
