"filename", "language", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"/Users/jeromeperera/Desktop/MSCPA---WEB/Animations/animations.css", "CSS", 0, 0, 56, 0, 0, 4, 60
"/Users/jeromeperera/Desktop/MSCPA---WEB/Animations/particle.js", "JavaScript", 10, 0, 0, 0, 16, 8, 34
"/Users/jeromeperera/Desktop/MSCPA---WEB/Animations/particles.css", "CSS", 0, 0, 9, 0, 0, 1, 10
"/Users/jeromeperera/Desktop/MSCPA---WEB/Components/contact.css", "CSS", 0, 0, 100, 0, 0, 10, 110
"/Users/jeromeperera/Desktop/MSCPA---WEB/Components/contact.html", "HTML", 0, 7, 0, 0, 0, 1, 8
"/Users/jeromeperera/Desktop/MSCPA---WEB/Pages/About.html", "HTML", 0, 293, 0, 0, 3, 3, 299
"/Users/jeromeperera/Desktop/MSCPA---WEB/Pages/Contact.html", "HTML", 0, 378, 0, 0, 1, 3, 382
"/Users/jeromeperera/Desktop/MSCPA---WEB/Pages/Events.html", "HTML", 0, 335, 0, 0, 1, 3, 339
"/Users/jeromeperera/Desktop/MSCPA---WEB/Pages/Feedback.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"/Users/jeromeperera/Desktop/MSCPA---WEB/Pages/History.html", "HTML", 0, 501, 0, 0, 1, 4, 506
"/Users/jeromeperera/Desktop/MSCPA---WEB/Pages/Prefects_Code.html", "HTML", 0, 223, 0, 0, 1, 3, 227
"/Users/jeromeperera/Desktop/MSCPA---WEB/Pages/templt.html", "HTML", 0, 108, 0, 0, 1, 3, 112
"/Users/jeromeperera/Desktop/MSCPA---WEB/Public/Backgrounds/nnnoise (1).svg", "XML", 0, 0, 0, 6, 0, 1, 7
"/Users/jeromeperera/Desktop/MSCPA---WEB/Public/Backgrounds/nnnoise.svg", "XML", 0, 0, 0, 6, 0, 1, 7
"/Users/jeromeperera/Desktop/MSCPA---WEB/Public/Icons/circle-arrow-up-2.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/jeromeperera/Desktop/MSCPA---WEB/Public/Icons/close.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/jeromeperera/Desktop/MSCPA---WEB/Public/Icons/e-remove-2.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/jeromeperera/Desktop/MSCPA---WEB/Public/Icons/mail-3.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/jeromeperera/Desktop/MSCPA---WEB/Public/Icons/menu-8.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/jeromeperera/Desktop/MSCPA---WEB/Scipts/loader.js", "JavaScript", 6, 0, 0, 0, 1, 2, 9
"/Users/jeromeperera/Desktop/MSCPA---WEB/Scipts/menu.js", "JavaScript", 11, 0, 0, 0, 1, 4, 16
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/about.css", "CSS", 0, 0, 381, 0, 1, 51, 433
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/contact.css", "CSS", 0, 0, 790, 0, 0, 113, 903
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/events.css", "CSS", 0, 0, 129, 0, 0, 18, 147
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/footer.css", "CSS", 0, 0, 408, 0, 2, 11, 421
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/header.css", "CSS", 0, 0, 185, 0, 3, 26, 214
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/history.css", "CSS", 0, 0, 140, 0, 0, 20, 160
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/index.css", "CSS", 0, 0, 125, 0, 3, 13, 141
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/loader.css", "CSS", 0, 0, 150, 0, 0, 16, 166
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/luminora.css", "CSS", 0, 0, 393, 0, 3, 52, 448
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/nav-menu.css", "CSS", 0, 0, 303, 0, 0, 45, 348
"/Users/jeromeperera/Desktop/MSCPA---WEB/Styles/root.css", "CSS", 0, 0, 125, 0, 10, 25, 160
"/Users/jeromeperera/Desktop/MSCPA---WEB/events/luminora.html", "HTML", 0, 383, 0, 0, 24, 5, 412
"/Users/jeromeperera/Desktop/MSCPA---WEB/index.html", "HTML", 0, 245, 0, 0, 1, 7, 253
"Total", "-", 27, 2474, 3294, 17, 73, 454, 6339
